"codi","nom","naturalesa","codi_comarca","nom_comarca","lon","lat","url"
8003336,"Sagrat Cor","Privat",13,"Barcelonès","2.16569","41.375518","http://www.sagratcoraldana.com/"
8003361,"Maristes Anna Ravell","Privat",13,"Barcelonès","2.1622","41.372079","http://www.annaravell.cat"
8003491,"Escola De Bosc de Montjuïc","Públic",13,"Barcelonès","2.161331","41.368946","http://agora.xtec.cat/escoladebosc/"
8003543,"Salesià de Sant Josep","Privat",13,"Barcelonès","2.1564","41.37719","http://rocafort.salesians.cat"
8003592,"Maria Auxiliadora","Privat",13,"Barcelonès","2.156116","41.378618","http://www.masepulveda.es/"
8003609,"Scuola dell'Infanzia Italiana parif. M. Montessori","Privat",13,"Barcelonès","2.120759","41.398346","0"
8003609,"Scuola dell'Infanzia Italiana parif. M. Montessori","Privat",13,"Barcelonès","2.120759","41.398346",""
8003610,"Jesús Maria","Privat",13,"Barcelonès","2.155436","41.374331","http://www.jmtamarit.es/"
8003658,"Sant Francesc","Privat",13,"Barcelonès","2.139045","41.386135","http://www.cesf.es"
8003671,"JesuÏtes Poble Sec - Sant Pere Claver","Privat",13,"Barcelonès","2.173431","41.37294","http://www.spclaver.fje.edu"
8003695,"Escola Bàrkeno","Públic",13,"Barcelonès","2.144089","41.354574","http://agora.xtec.cat/escolabarkeno/"
8003701,"Alfageme","Privat",13,"Barcelonès","2.13855","41.3612","https://educaciodigital.cat/col-alfageme-barcelona/"
8003725,"Garbiñe","Privat",13,"Barcelonès","2.137249","41.365117","http://www.garbinye.net"
8003774,"Lexia","Privat",13,"Barcelonès","2.139117","41.414169","0"
8003774,"Lexia","Privat",13,"Barcelonès","2.139117","41.414169",""
8003816,"Thau","Privat",13,"Barcelonès","2.106353","41.387819","http://www.iccic.edu/thaubcn/"
8003907,"La Salle Bonanova","Privat",13,"Barcelonès","2.132376","41.4062","http://www.bonanova.lasalle.cat"
8003993,"Canigó","Privat",13,"Barcelonès","2.133143","41.411036","http://www.fomento.edu/canigo"
8004018,"Mary Ward","Privat",13,"Barcelonès","2.141072","41.401183","http://www.marywardbarcelona.net"
8004031,"Sant Marc de Sarrià","Privat",13,"Barcelonès","2.12272","41.401795","http://www.santmarc.com"
8004067,"Jesuïtes Sarrià - Sant Ignasi","Privat",13,"Barcelonès","2.121492","41.402932","http://www.santignasi.fje.edu"
8004080,"Sil","Privat",13,"Barcelonès","2.135168","41.413033","http://www.colegiosil.com"
8004122,"Sagrado Corazón","Privat",13,"Barcelonès","2.121163","41.392962","http://www.corazonistasbcn.com"
8004171,"Santa Anna-Eixample","Privat",13,"Barcelonès","2.173308","41.394725","http://www.santaanna.cat"
8004195,"Sant Gregori","Privat",13,"Barcelonès","2.125168","41.412416","http://www.santgregori.org"
8004201,"Santa Teresa - Ganduxer","Privat",13,"Barcelonès","2.133654","41.399786","http://ganduxer.escolateresiana.com"
8004225,"St. Peter's School","Privat",13,"Barcelonès","2.105734","41.388811","http://www.xtec.cat/centres/a8004225"
8004286,"Escola Pia de Sarrià-Calassanç","Privat",13,"Barcelonès","2.124686","41.406908","https://www.escolapissarria.cat/"
8004316,"Decroly","Privat",13,"Barcelonès","2.133693","41.410618","http://www.decroly.org"
8004328,"Nostra Senyora de Lurdes","Privat",13,"Barcelonès","2.150832","41.400481","http://www.escolalurdes.cat"
8004389,"Escola Reina Violant","Públic",13,"Barcelonès","2.153018","41.404123","http://www.reinaviolant.cat"
8004389,"Escola Reina Violant-Comas i Solà","Públic",13,"Barcelonès","2.153018","41.404123","http://www.reinaviolant.cat"
8004390,"Sant Pau","Privat",13,"Barcelonès","2.104985","41.391873","http://www.stpauls.es"
8004432,"Istituto Italiano Statale c.sc.el.e.sec. I e II gr","Privat",13,"Barcelonès","2.12671","41.403992","0"
8004432,"Istituto Italiano Statale c.sc.el.e.sec. I e II gr","Privat",13,"Barcelonès","2.12671","41.403992",""
8004471,"Nausica","Privat",13,"Barcelonès","2.145388","41.397086","http://www.escolanausica.cat"
8004511,"Betània-Patmos","Privat",13,"Barcelonès","2.109216","41.397346","http://www.betania-patmos.org"
8004523,"Paideia","Privat",13,"Barcelonès","2.13956","41.387878","0"
8004523,"Paideia","Privat",13,"Barcelonès","2.13956","41.387878",""
8004559,"Abat Oliba-Loreto","Privat",13,"Barcelonès","2.107025","41.393472","https://loreto.abatoliba.edu/"
8004626,"Jesuïtes Sant Gervasi - Infant Jesús","Privat",13,"Barcelonès","2.149243","41.397152","http://www.santgervasi.fje.edu"
8004641,"Lys","Privat",13,"Barcelonès","2.143154","41.404694","http://www.escolalys.cat/"
8004705,"Reial Monestir de Santa Isabel","Privat",13,"Barcelonès","2.125783","41.397491","http://www.rmsantaisabel.com"
8004717,"Sagrat Cor-Sarrià","Privat",13,"Barcelonès","2.118979","41.400644","http://www.sagratcorsarria.com"
8004742,"Jesús i Maria","Privat",13,"Barcelonès","2.134115","41.408395","http://www.jmsanger.com"
8004778,"Santa Dorotea","Privat",13,"Barcelonès","2.128857","41.393545","http://www.salesianessantadorotea.com/"
8004781,"Salesians Sant Àngel","Privat",13,"Barcelonès","2.12785","41.395386","http://www.xtec.cat/centres/a8004781"
8004808,"Casa del Roure","Privat",13,"Barcelonès","2.117003","41.406606","http://www.xtec.cat/centres/a8004808"
8004869,"Peter Pan","Privat",13,"Barcelonès","2.121523","41.405117","http://www.escolapeterpan.cat"
8004900,"Madres Concepcionistas de la Enseñanza","Privat",13,"Barcelonès","2.149322","41.404894","http://www.barcelona.concepcionistas.es"
8004912,"Montserrat","Privat",13,"Barcelonès","2.111035","41.409088","http://www.cmontserrat.org"
8005072,"Sadako","Privat",13,"Barcelonès","2.134108","41.417939","http://escolasadako.cat"
8005102,"La Salle Comtal","Privat",13,"Barcelonès","2.175221","41.387955","http://www.lasallecomtal.org"
8005114,"Mare del Diví Pastor","Privat",13,"Barcelonès","2.175277","41.39353","http://escolesmdp.org/bailen"
8005151,"Sant Francesc Xavier","Privat",13,"Barcelonès","2.158039","41.372504","http://www.xtec.cat/col-sanfranciscojavier"
8005199,"Jesuïtes Casp - Sagrat Cor de Jesús","Privat",13,"Barcelonès","2.17116","41.389916","http://www.casp.fje.edu/"
8005205,"Pérez Iborra","Privat",13,"Barcelonès","2.163409","41.389508","http://www.pereziborra.com"
8005242,"Escola Pia de Nostra Senyora","Privat",13,"Barcelonès","2.167975","41.391241","http://nostrasenyora.escolapia.cat"
8005266,"Sagrat Cor-Diputació","Privat",13,"Barcelonès","2.17374","41.395283","http://www.sagratcordiputacio.com"
8005357,"Collège Ferdinand de Lesseps","Privat",13,"Barcelonès","2.178522","41.397546","0"
8005357,"Collège Ferdinand de Lesseps","Privat",13,"Barcelonès","2.178522","41.397546",""
8005370,"Jesuïtes Gràcia - Kostka","Privat",13,"Barcelonès","2.1573","41.414253","http://www.kostka.fje.edu"
8005382,"Escolàpies Llúria-Barcelona","Privat",13,"Barcelonès","2.168282","41.393744","http://escolapieslluria.org/web/"
8005394,"Lestonnac","Privat",13,"Barcelonès","2.16667","41.392923","http://www.lestonnac-bcn.org"
8005400,"Santa Claus","Privat",13,"Barcelonès","2.137335","41.411911","http://www.xtec.cat/centres/a8005400"
8005412,"Lleó XIII","Privat",13,"Barcelonès","2.13708","41.412485","http://www.lleoxiii.com/"
8005436,"Dominiques Barcelona","Privat",13,"Barcelonès","2.171482","41.400693","http://www.dominiquesdelensenyament.com"
8005473,"San Nicolás","Privat",13,"Barcelonès","2.163557","41.396438","http://www.lamerced.org"
8005485,"Llar Marillac","Privat",13,"Barcelonès","2.171505","41.402394","http://WWW.escola-marillac.net"
8005485,"Marillac","Privat",13,"Barcelonès","2.171505","41.402394","http://WWW.escola-marillac.net"
8005564,"Maristes La Immaculada","Privat",13,"Barcelonès","2.172044","41.399018","http://imma.maristes.cat/"
8005618,"Vedruna Àngels Barcelona","Privat",13,"Barcelonès","2.167689","41.383174","http://vedruna-angels.org"
8005643,"Labouré","Privat",13,"Barcelonès","2.168633","41.383427",""
8005746,"Escola Pia Sant Antoni","Privat",13,"Barcelonès","2.163964","41.378281","http://santantoni.escolapia.cat"
8005761,"IPSE","Privat",13,"Barcelonès","2.149867","41.391976","http://www.escolaipse.net"
8005771,"Sagrat Cor-Esclaves","Privat",13,"Barcelonès","2.161546","41.39225","http://escolashalom.com"
8005801,"Mare de Déu del Roser","Privat",13,"Barcelonès","2.15821","41.38528","http://escolamarededeudelroser.com"
